SiteNumber	Recording Number	Date	AP	ML	Depth	ElectrodeNumber	350uA	250uA	150uA	Calibration	Comment				r
51		4/25/2014	-2	0.5	34.594	31	p	p	n	-18	low cell count 641				n
52		4/25/2014	-2	0.5	34.594	15	n	n	n	-18					p
53		4/25/2014	-2	0.5	34.594	7	p	p	n	-18	low cell count 497				r-
54		4/25/2014	-2	0.5	35.205	7	r-/r	r/r	n/n	-18	up 1st /cell 				r-
55		4/25/2014	-2	0.5	35.205	15	r-/r-	n/r	n/n	-18					r-
56		4/25/2014	-2	0.5	35.205	31	r-/r-	r/r	r/r	-18					r-
57		4/25/2014	-2	0.5	35.205	39	r-	r	n	-18					r-
58		4/29/2014	-2.5	1.5	30.39	39	r-	n	n	-18					n
59		4/29/2014	-2.5	1.5	30.608	39	n	n	n	-18					r-
60		4/29/2014	-2.5	1.5	31.123	39	r-	r	r	-18					r-
61		4/29/2014	-2.5	1.5	31.578	39	r-	r	r	-18					p
62		4/29/2014	-2.5	1.5	31.578	31	r/p	r/p	r/p	-18					p
63		4/29/2014	-2.5	1.5	31.578	15	p/p	r/r	r/r	-18					r
64		4/29/2014	-2.5	1.5	31.578	7	n/r	r/r	r/r	-18					p
65		4/29/2014	-2.5	1.5	31.818	39	p/p	p/p	r/p	-18					p
66		4/29/2014	-2.5	1.5	31.818	31	p/p	p/r	r/r	-18	2nd cell count low 317				r
67		4/29/2014	-2.5	1.5	31.818	15	r/r	r/r	r/r	-18	2nd cell count low 447				r
68		4/29/2014	-2.5	1.5	31.818	7	r/n	r/r	r/r	-18					p
69		4/29/2014	-2.5	1.5	32.095	39	p/p	p/r	r/r	-18					p
70		4/29/2014	-2.5	1.5	32.095	31	p/r-	n/r	r/r	-18	2nd cell count low 469				r
71		4/29/2014	-2.5	1.5	32.273	39	r	r	r	-18					r-
73		4/29/2014	-2.5	1.5	32.392	39	r-	r	r	-18	cell count low 483				r
74		4/29/2014	-2.5	1.5	32.685	39	n/r	r/n	r/n	-18					r
75		4/29/2014	-2.5	1.5	32.685	31	r/n	p/n	n/n	-18					r
76		4/29/2014	-2.5	1.5	32.685	15	r/r	r/r	r/r	-18					p
77		4/29/2014	-2.5	1.5	32.685	7	p/p	p/p	p/p	-18					n
78		4/29/2014	-2.5	1.5	33.244	39	n/n	n/r	r/r	-18	2nd cell count low 876				r-
79		4/29/2014	-2.5	1.5	33.244	31	r-/n	r/r	r/r	-18					r-
80		4/29/2014	-2.5	1.5	33.244	15	r-/r-	r/r	n/n	-18					r
81		4/29/2014	-2.5	1.5	33.244	7	r/r	r/r	r/r	-18					r-
82		4/29/2014	-2.5	1.5	33.362	39	n/r-	r/n	r/r	-18					r-
83		4/29/2014	-2.5	1.5	33.362	31	r-/r-	r/r	r/r	-18					n
84		4/29/2014	-2.5	1.5	33.362	15	n/n	n/r	r/n	-18					n
85		4/29/2014	-2.5	1.5	33.362	7	n			-18	"cell count low 385, cell lost"				n
86		4/29/2014	-2.5	1.5	33.763	39	n			-18	"cell count low 330, cell lost"				p
88		4/29/2014	-2.5	1.5	33.947	39	p	p	r	-18					p
89		4/29/2014	-2.5	1.5	33.947	31	p	r	r	-18					p
90		4/29/2014	-2.5	1.5	33.947	15	p	r	n	-18					r
91		4/29/2014	-2.5	1.5	33.947	7	r	r	n	-18					p
92		4/29/2014	-2.5	1.5	34.263	39	p/p	p/p	r/r	-18					p
93		4/29/2014	-2.5	1.5	34.263	31	n/p	r/p	r/p	-18					p
94		4/29/2014	-2.5	1.5	34.263	15	p/p	r/r	r/r	-18					p
95		4/29/2014	-2.5	1.5	34.263	7	p/p	r/p	r/r	-18					p
97		4/29/2014	-2.5	1.5	34.955	39	p	p	p	-18	up 1st				p
98		4/29/2014	-2.5	1.5	34.955	31	p	p	p	-18	up 1st				p
99		4/29/2014	-2.5	1.5	34.955	15	p	p	p	-18	up 1st				p
100		4/29/2014	-2.5	1.5	34.955	7	p	p	p	-18	up 1st				p
101		4/30/2014	-3.5	1.5	33.594	39	p	p	p	-18					r
102		4/30/2014	-3.5	1.5	33.594	31	r	r	r	-18					n
103		4/30/2014	-3.5	1.5	33.697	39	n	r	r	-18					n
104		4/30/2014	-3.5	1.5	33.697	31	n	r	r	-18					r-
105		5/1/2014	-2	0.5	30.213	39	r-	r	r	-18					r-
106		5/1/2014	-2	0.5	31.19	39	r-			-18	low cell count 535				r-
107		5/1/2014	-2	0.5	31.902	39	r-/r-	p/n	r/n	-18	low cell count 647/443				n
108		5/1/2014	-2	0.5	32.268	39	n/n	r/r	r/r	-18					r-
109		5/1/2014	-2	0.5	33.054	39	r-	n	n	-18	low cell count 683				
110															
111															
112															
113															
114															
115															
116															
117															
118															
119															
120															
121															
122															
123															
124															
125															
126															
127															
128															
129															
130															
131															
132															
133															
134															
135															
136															
137															
138															
139															
140															
141															
142															
143															
144															
145															
146															
147															
148															
149															
150															
151															
152															
153															
154															
155															
156															
157															
158															
159															
160															
161															
162															
163															
164															
165															
166															
167															
168															
169															
170															
171															
172															
173															
174															
175															
176															
177															
178															
179															
180															
181															
182															
183															
184															
185															
186															
187															
188															
189															
190															
191															
192															
193															
194															
195															
196															
197															
198															
199															
200															
201															
202															
203															
204															
205															
206															
207															
208															
209															
210															
211															
212															
213															
214															
215															
216															
217															
218															
219															
220															
221															
222															
223															
224															
225															
226															
227															
228															
229															
230															
231															
232															
233															
234															
235															
236															
237															
238															
239															
240															
241															
242															
243															
244															
245															
246															
247															
248															
249															
250															
251															
252															
253															
254															
255															
256															
257															
258															
259															
260															
261															
262															
263															
264															
265															
266															
267															
268															
269															
270															
271															
272															
273															
274															
275															
276															
277															
278															
279															
280															
281															
282															
283															
284															
285															
286															
287															
288															
289															
290															
291															
292															
293															
294															
295															
296															
297															
298															
299															
300															
301															
302															
303															
304															
305															
306															
307															
308															
309															
310															
311															
312															
313															
314															
315															
316															
317															
318															
319															
320															
321															
322															
323															
324															
325															
326															
327															
328															
329															
